ที่	tʰîː	at	เขาได้รับรางวัลที่ 1 ในการประกวดวาดภาพ
แม่	mɛ̂ː	mother	ความรักที่แม่มีให้ลูกเป็นรักที่ยิ่งใหญ่กว่ารักใดในโลก
นาย	naːj	Mr.	เขาไปหานายเพื่อเรียกร้องสวัสดิการที่ดีกว่าเดิม
ชาติ	tɕʰâːt	nation	ศาสนาพุทธสอนให้คนทำความดีเพื่อสั่งสมบุญบารมีทั้งในชาตินี้และชาติหน้า
เรียน	riːan	study	เขาหาจังหวะเหมาะๆ เพื่อเข้าพบเจ้านาย แล้วเรียนให้ท่านทราบถึงปัญหาที่เกิดขึ้น
เสียง	sǐːaŋ	sound	เรื่องนี้ฉันขอไม่ออกเสียง
รัก	rák	love	เธออย่าไปหน่วงเหนี่ยวเขาไว้เลย มันไม่มีประโยชน์อะไรกับคนที่ไม่รักเรา
โรง	roːŋ	building; structure	นักบอลวิ่งกันฝุ่นตลบตรงสนามหน้าเสาธงของโรงเรียน
ทราบ	sâːp	know	เมื่อรถหุ่นยนต์เคลื่อนที่ มันจะเตือนให้มนุษย์ทราบ ด้วยการส่งเสียงดัง บี๊บ บี๊บ
เชื่อ	tɕʰɯ̂ːa	believe	ชาวไทยเชื่อในพระพุทธศาสนา
ตน	ton	self	มียักษ์สามตน
ระดับ	ráʔ dàp	level; grade	ความสามารถของนักเรียนไทยอยู่ในระดับที่ดีมาก
ครอบครัว	kʰrɔ̂ːp kʰruːa	family	ครอบครัวจะช่วยหล่อหลอมเยาวชนให้เติบใหญ่เป็นคนดีของสังคม
เปิด	pɤ̀ːt	open	กว่าตำรวจจะมาถึง คนร้ายก็เปิดไปถึงไหนแล้ว
ชอบ	tɕʰɔ̂ːp	like	ฝนชอบตกตอนเช้า
ภายใน	pʰaːj naj	within	เมื่อเดินเข้าไปภายในอาคารฉันถึงกับอึ้งเพราะความหรูหราของการประดับตกแต่ง
เหลือ	lɯ̌ːa	remainder	ชาวบ้านนำปลาที่เหลือจากกินแล้วนำไปขายทำให้มีรายได้เพิ่มขึ้น
แทน	tʰɛːn	instead	วิธีการที่จะจัดการกับปัญหาเราควรแก้ไขกับต้นตอของปัญหา แทนที่จะแก้ไขที่ปลายเหตุ
มอง	mɔːŋ	view	ฉันมองร่างเด็กผอมเกร็งตัวดำอย่างสมเพช
พวก	pʰûːak	group; party	โปรแกรมพวกนี้จะเป็นโปรแกรมการกุศลซึ่งเป็นโปรแกรมที่ประโยชน์ใช้งานได้จริง
ญาติ	jâːt	relative	คนที่ไปรับญาติกลับจากสงคราม มีความสุขที่ได้เห็นญาติกลับบ้าน
รูป	rûːp	image	เราจงอย่ายึดมั่นถือมั่นกับรูป รส กลิ่น เสียง
ติด	tìt	stick; attached to	เพื่อนข้างบ้านขอติดรถไปลงหน้าปากซอยด้วย
วาง	waːŋ	to place; to lay	มนุษย์จอมพลังสามารถยกข้าวสาร 100 กิโลกรัมวางไว้บนศีรษะได้อย่างน่าอัศจรรย์
ยาก	jâːk	difficult	ซอฟต์แวร์เหล่านี้มักมีราคาแพง จึงยากที่จะหลีกเลี่ยงการละเมิดสิทธิ์
ฟัง	faŋ	listen	เธอฟังผู้ใหญ่ไว้บ้างก็ดี ยังไงเขาก็ผ่านมาก่อนเรา
เดือน	dɯːan	month	โรงเรียนเริ่มเปิดสอนพิเศษช่วงเดือนเมษายน
นาน	naːn	long	ครอบครัวของเขาอยู่บนที่ดินผืนนี้มานานหลายชั่วอายุคน
ระบบ	ráʔ bòp	system	การทำงานของเครื่องแต่ละรุ่น แต่ละระบบ มีการพัฒนาและเปลี่ยนแปลงอย่างรวดเร็ว
ผู้หญิง	pʰûː jǐŋ	female	เพราะเราไม่มีลูกด้วยกัน เธอจึงระแวงสงสัยว่าข้าพเจ้าจะมีผู้หญิงอื่น
